explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,36,77,60,-15,12.0,14.0,2.9,4.0,5.0,11.0,13.0,2.1,7.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,36,0,64,-15,8.0,13.0,2.1,4.0,7.0,11.0,12.0,2.1,7.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,36,0,0,-5,6.0,13.0,2.6,1.0,9.0,11.0,15.0,2.5,1.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,0,100,0,80,-1,7.0,13.0,1.8,2.0,8.0,7.0,10.0,1.6,10.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,15,80,89,-1,9.0,13.0,1.8,2.0,6.0,11.0,12.0,2.6,3.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,0,100,50,-1,-2,12.0,8.0,2.5,8.0,8.0,12.0,9.0,1.6,2.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,64,0,80,-1,12.0,10.0,1.9,9.0,4.0,8.0,14.0,1.9,2.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,80,60,36,-100,9.0,10.0,2.7,8.0,9.0,8.0,13.0,1.9,6.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,80,0,0,-1,11.0,10.0,2.0,6.0,5.0,10.0,14.0,2.8,9.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,sippy_cup,100,64,77,-1,-100,10.0,11.0,2.6,8.0,4.0,8.0,9.0,2.4,9.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-15,-80,20.0,1.9,78.0,89.0,36.0,16.0,3.0,90.0,147.0,41.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-36,-95,17.0,2.0,79.0,169.0,51.0,20.0,1.3,92.0,104.0,22.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,36,0,-9,-80,4.0,3.4,76.0,221.0,23.0,9.0,1.5,97.0,198.0,41.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,-100,89,0,-1,100,20.0,4.6,84.0,174.0,49.0,18.0,4.6,90.0,216.0,24.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,80,0,-36,-89,11.0,4.6,89.0,118.0,40.0,18.0,4.8,99.0,167.0,44.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-36,-91,4.0,2.1,85.0,258.0,51.0,10.0,3.9,74.0,115.0,23.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-36,-80,7.0,1.2,81.0,290.0,43.0,16.0,4.1,82.0,126.0,51.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-19,-77,10.0,2.4,75.0,128.0,36.0,4.0,4.0,82.0,211.0,39.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,45,0,-15,-80,10.0,5.0,92.0,110.0,55.0,15.0,2.0,88.0,76.0,51.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,windshield_cover,100,89,0,-15,-92,11.0,3.6,73.0,215.0,51.0,3.0,1.9,86.0,163.0,20.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,100,-100,-100,0,1131.0,18.0,4.0,63.0,28.0,1278.0,34.0,9.0,54.0,26.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,89,-80,-91,-1,897.0,41.0,13.0,33.0,35.0,1490.0,13.0,6.0,26.0,14.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,77,-88,-95,0,1601.0,44.0,12.0,94.0,18.0,929.0,17.0,10.0,44.0,22.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,100,-80,-95,61,1863.0,31.0,9.0,40.0,15.0,861.0,7.0,7.0,50.0,33.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-15,100,-30,-68,-1,479.0,21.0,13.0,37.0,32.0,325.0,46.0,9.0,77.0,24.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,89,-80,-91,-9,378.0,40.0,10.0,71.0,17.0,1012.0,35.0,10.0,62.0,21.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,89,-80,-77,-1,522.0,39.0,5.0,93.0,12.0,1767.0,14.0,10.0,63.0,29.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,84,-92,-100,-4,1904.0,28.0,13.0,46.0,30.0,1364.0,7.0,12.0,34.0,32.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,100,-64,-80,0,1943.0,8.0,10.0,95.0,27.0,1978.0,26.0,14.0,32.0,27.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,console,-100,100,-88,-95,-1,1678.0,33.0,12.0,57.0,28.0,1841.0,40.0,11.0,84.0,25.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-64,-80,-77,-1,114.0,48.0,9.0,7.0,7.0,474.0,60.0,9.0,8.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,1,-1,-3,-4,390.0,24.0,2.0,4.0,4.0,164.0,27.0,10.0,7.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-89,-95,-92,-97,370.0,27.0,10.0,5.0,8.0,176.0,97.0,8.0,4.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,15,-80,-36,-47,166.0,99.0,4.0,9.0,7.0,59.0,41.0,7.0,5.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,100,-1,-2,-3,431.0,87.0,6.0,9.0,1.0,115.0,27.0,3.0,9.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,60,-80,36,-64,108.0,79.0,5.0,7.0,6.0,498.0,31.0,9.0,4.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-89,-100,100,-100,440.0,38.0,2.0,8.0,4.0,442.0,65.0,1.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-80,-100,100,-100,339.0,33.0,2.0,8.0,9.0,399.0,42.0,10.0,3.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-100,-100,100,-100,72.0,54.0,7.0,9.0,3.0,82.0,91.0,4.0,3.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,stapler,-100,-100,-100,-100,-100,316.0,70.0,4.0,6.0,9.0,119.0,92.0,9.0,4.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,89,-48,77,100,5.0,63.0,24.0,4.0,86.0,7.0,230.0,15.0,3.8,16.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,89,-8,-45,77,6.0,94.0,18.0,5.6,32.0,11.0,476.0,15.0,5.7,56.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,80,-60,64,55,13.0,252.0,13.0,5.0,98.0,3.0,415.0,20.0,5.8,73.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,80,-60,64,77,5.0,298.0,11.0,4.0,47.0,3.0,174.0,15.0,4.5,89.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,80,-77,-36,64,8.0,344.0,5.0,5.0,81.0,14.0,77.0,16.0,5.1,60.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,89,0,60,100,14.0,257.0,12.0,5.1,1.0,6.0,491.0,20.0,3.3,31.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,89,-73,80,64,6.0,477.0,10.0,3.8,88.0,4.0,263.0,18.0,3.1,70.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,95,-36,77,61,15.0,54.0,8.0,3.5,27.0,12.0,482.0,19.0,5.2,50.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,80,-60,89,100,8.0,308.0,20.0,4.4,98.0,5.0,94.0,17.0,5.6,36.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,jewelry_kit,-100,60,-8,80,100,14.0,176.0,18.0,3.2,18.0,4.0,282.0,8.0,5.1,81.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,100,-89,92,-100,0,99.0,91.0,98.0,40.0,35.0,64.0,76.0,70.0,93.0,18.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,-100,-95,-88,-1,0,27.0,36.0,92.0,116.0,25.0,71.0,72.0,95.0,42.0,22.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,100,60,80,-77,-48,92.0,97.0,86.0,61.0,38.0,80.0,26.0,60.0,103.0,19.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,0,-100,60,-1,-36,77.0,67.0,79.0,47.0,12.0,71.0,25.0,74.0,45.0,23.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,-100,-95,100,-80,-1,128.0,98.0,74.0,78.0,31.0,96.0,44.0,87.0,41.0,17.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,-100,-88,-77,-95,-1,25.0,90.0,67.0,79.0,27.0,142.0,64.0,61.0,44.0,37.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,100,-80,77,-60,-1,85.0,78.0,49.0,75.0,27.0,36.0,73.0,68.0,117.0,24.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,0,-100,64,-80,-47,49.0,21.0,66.0,111.0,33.0,42.0,23.0,61.0,31.0,22.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,-100,-80,77,-88,0,37.0,71.0,80.0,32.0,12.0,132.0,24.0,53.0,104.0,16.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,antenna,100,-80,77,-95,-1,138.0,21.0,76.0,48.0,23.0,42.0,55.0,50.0,115.0,29.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,100,-89,-95,1.1,1320.0,44.0,0.1,17.0,1.2,1421.0,89.0,3.5,74.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,36,-45,0,1.7,3735.0,62.0,3.2,41.0,0.3,1084.0,73.0,1.7,45.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-100,100,-1,-100,1.7,3024.0,38.0,4.8,21.0,1.3,2414.0,21.0,4.9,86.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-64,100,0,-80,1.6,3196.0,86.0,2.2,47.0,0.6,3642.0,38.0,1.1,86.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-60,91,-80,-1,1.5,3514.0,95.0,0.6,91.0,1.8,2664.0,31.0,4.5,14.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,36,100,-1,1.1,2195.0,61.0,0.1,43.0,0.7,1382.0,44.0,3.8,88.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,100,-1,-60,1.1,1215.0,73.0,1.5,10.0,0.8,2098.0,1.0,1.3,62.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,36,-1,-2,1.6,1156.0,50.0,0.2,71.0,0.3,3450.0,8.0,2.6,55.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-89,100,61,-1,1.8,3206.0,69.0,2.4,39.0,1.5,3783.0,54.0,0.5,6.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,house,-100,-80,100,-1,-36,1.2,2567.0,79.0,2.6,47.0,1.6,2036.0,28.0,1.3,77.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,60,-89,36,9,224.0,411.0,6.0,1540.0,6.0,249.0,598.0,17.0,1851.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,60,-89,0,0,176.0,511.0,10.0,1688.0,5.0,319.0,461.0,17.0,1803.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,1,-89,36,0,125.0,450.0,18.0,2278.0,7.0,296.0,508.0,19.0,1998.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,15,-80,45,55,149.0,455.0,7.0,1597.0,6.0,436.0,588.0,15.0,2215.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,-100,0,-89,36,100,456.0,437.0,20.0,2351.0,5.0,127.0,533.0,14.0,1651.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,80,-100,15,0,400.0,531.0,17.0,1343.0,9.0,209.0,421.0,15.0,1379.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,1,-89,48,0,340.0,527.0,8.0,2273.0,4.0,220.0,550.0,19.0,1767.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,0,-89,64,80,111.0,573.0,12.0,1888.0,9.0,272.0,530.0,11.0,2170.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,100,15,-80,36,60,354.0,475.0,7.0,1292.0,4.0,333.0,515.0,11.0,1359.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,electric_grill,0,0,-100,64,36,181.0,599.0,19.0,1261.0,5.0,495.0,584.0,19.0,1725.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-89,0,48,80,66.0,9.0,216.0,9.0,1.0,59.0,6.0,57.0,8.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-80,0,64,36,6.0,9.0,65.0,3.0,6.0,53.0,4.0,201.0,7.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-89,0,60,73,66.0,9.0,177.0,8.0,8.0,35.0,7.0,336.0,5.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-80,-15,60,77,18.0,7.0,195.0,8.0,1.0,59.0,7.0,386.0,4.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-89,0,0,64,36.0,7.0,271.0,6.0,7.0,63.0,1.0,360.0,6.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-80,-15,77,60,43.0,5.0,381.0,3.0,8.0,21.0,7.0,182.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-61,0,0,80,65.0,4.0,348.0,7.0,3.0,14.0,4.0,260.0,7.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-48,-1,48,89,13.0,3.0,179.0,7.0,5.0,26.0,2.0,342.0,5.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-80,0,36,20,37.0,7.0,69.0,8.0,5.0,61.0,3.0,105.0,1.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,tea,100,-61,0,45,89,45.0,6.0,156.0,7.0,1.0,2.0,4.0,283.0,2.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,89,100,-80,64,46.0,3.8,137.0,11.0,1.0,48.0,2.9,113.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,89,100,-77,45,116.0,5.9,127.0,8.0,5.0,101.0,5.4,149.0,5.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,100,89,-80,-56,97.0,4.5,80.0,9.0,5.0,101.0,3.1,68.0,10.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,1,100,88,-100,-1,96.0,2.9,88.0,11.0,9.0,100.0,5.3,186.0,10.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,80,100,-80,-60,63.0,2.9,125.0,9.0,2.0,98.0,2.9,112.0,12.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,20,100,80,-77,0,53.0,3.3,149.0,11.0,8.0,99.0,5.0,162.0,10.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,15,100,89,-36,0,34.0,3.3,68.0,9.0,6.0,46.0,4.3,107.0,5.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,100,89,-56,-1,71.0,5.7,61.0,8.0,9.0,61.0,2.4,98.0,10.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-first-50-of-100-50ex:B3ST4gdn,instilled_100,lint_roller,-100,100,89,-48,-1,57.0,2.8,168.0,4.0,9.0,40.0,2.2,163.0,8.0,4.0
